campaign_id,campaign_name,campaign_type,channel,start_date,end_date,budget,target_audience,campaign_status
22,Product Launch - Facebook Ads - Dec 2024,Product Launch,Facebook Ads,2024-12-21,2024-12-30,2208.11,"Age 44-62, Female",completed
23,Seasonal Sale - Email Marketing - Feb 2025,Seasonal Sale,Email Marketing,2025-02-04,2025-02-16,2485.09,"Age 43-39, Female",completed
24,Brand Awareness - Referral - Apr 2025,Brand Awareness,Referral,2025-04-08,2025-05-24,1786.84,"Age 61-59, Male",completed
25,Holiday Special - Direct - Apr 2025,Holiday Special,Direct,2025-04-15,2025-06-12,4153.97,"Age 64-54, Female",completed
26,Retargeting - Email Marketing - Sep 2023,Retargeting,Email Marketing,2023-09-25,2023-10-14,1016.07,"Age 19-54, Female",completed
27,Retargeting - Direct - Apr 2024,Retargeting,Direct,2024-04-05,2024-05-05,730.04,"Age 63-74, Female",completed
28,Seasonal Sale - Facebook Ads - Aug 2024,Seasonal Sale,Facebook Ads,2024-08-31,2024-09-13,914.33,"Age 27-45, All",completed
29,Seasonal Sale - Google Ads - May 2025,Seasonal Sale,Google Ads,2025-05-21,2025-06-26,865.11,"Age 51-27, Male",completed
30,Brand Awareness - Email Marketing - Oct 2024,Brand Awareness,Email Marketing,2024-10-15,2024-12-19,5849.83,"Age 25-60, All",completed
31,Seasonal Sale - Direct - Mar 2024,Seasonal Sale,Direct,2024-03-20,2024-06-16,1379.79,"Age 29-43, Male",completed
32,Brand Awareness - Email Marketing - May 2025,Brand Awareness,Email Marketing,2025-05-15,2025-06-04,1369.84,"Age 52-37, All",completed
33,Product Launch - Direct - Feb 2024,Product Launch,Direct,2024-02-20,2024-05-03,7439.77,"Age 56-57, Female",completed
34,Brand Awareness - Facebook Ads - Sep 2023,Brand Awareness,Facebook Ads,2023-09-21,2023-12-08,8667.57,"Age 53-67, Female",completed
35,Retargeting - Organic Search - Nov 2024,Retargeting,Organic Search,2024-11-08,2025-01-11,2425.75,"Age 18-48, All",completed
36,Holiday Special - Google Ads - Jan 2025,Holiday Special,Google Ads,2025-01-08,2025-01-22,824.01,"Age 46-48, All",completed
37,Retargeting - Organic Search - Mar 2025,Retargeting,Organic Search,2025-03-09,2025-04-10,6655.63,"Age 35-34, Female",completed
38,Holiday Special - Facebook Ads - Jul 2024,Holiday Special,Facebook Ads,2024-07-20,2024-08-21,1037.38,"Age 42-42, Male",completed
39,Brand Awareness - Google Ads - Jan 2025,Brand Awareness,Google Ads,2025-01-29,2025-02-19,5116.33,"Age 57-62, All",completed
40,Product Launch - Facebook Ads - Jul 2025,Product Launch,Facebook Ads,2025-07-07,2025-09-16,1584.69,"Age 43-26, Male",active
41,Seasonal Sale - Google Ads - Sep 2024,Seasonal Sale,Google Ads,2024-09-11,2024-10-20,1145.73,"Age 44-73, All",completed
42,Holiday Special - Direct - Jul 2024,Holiday Special,Direct,2024-07-31,2024-09-05,11633.16,"Age 53-45, Male",completed
43,Seasonal Sale - Facebook Ads - Mar 2025,Seasonal Sale,Facebook Ads,2025-03-26,2025-04-17,9468.75,"Age 27-65, Female",completed
44,Holiday Special - Email Marketing - Apr 2024,Holiday Special,Email Marketing,2024-04-13,2024-04-23,249.67,"Age 59-65, Male",completed
45,Brand Awareness - Direct - Aug 2024,Brand Awareness,Direct,2024-08-29,2024-09-11,2460.33,"Age 47-51, All",completed
46,Holiday Special - Facebook Ads - Jan 2025,Holiday Special,Facebook Ads,2025-01-24,2025-03-27,1729.56,"Age 28-28, Female",completed
47,Holiday Special - Referral - Jan 2025,Holiday Special,Referral,2025-01-17,2025-04-07,26750.94,"Age 20-40, Female",completed
48,Seasonal Sale - Organic Search - Jan 2025,Seasonal Sale,Organic Search,2025-01-27,2025-04-11,5614.0,"Age 38-34, All",completed
49,Product Launch - Referral - Oct 2023,Product Launch,Referral,2023-10-03,2023-12-29,2382.58,"Age 48-54, All",completed
50,Retargeting - Direct - Dec 2023,Retargeting,Direct,2023-12-23,2024-03-18,1336.53,"Age 53-26, Female",completed
